,head_actual,word_count,len_text,end_sym,len_avg_word,no_of_stop,numeric_value,no_of_sym,cos_sim,case
3051,0,3,22,0,7,0,8,3,1,2
3052,0,10,64,0,6,1,0,3,1,2
3053,1,1,7,0,7,0,0,0,1,2
3054,0,42,290,1,6,13,1,12,1,2
3055,1,1,9,0,9,0,0,0,1,2
3056,0,23,150,1,6,12,0,4,0,2
3057,1,1,10,0,10,0,0,0,1,2
3058,0,2,15,0,7,0,0,0,0,2
3059,0,5,32,0,6,0,0,2,0,2
3060,0,4,19,0,4,0,4,1,0,2
3061,0,7,50,0,7,0,0,1,0,2
3062,0,4,34,0,8,0,0,1,0,2
3063,1,1,17,1,17,0,0,1,1,2
3064,0,16,92,1,5,7,1,2,1,3
3065,0,5,34,0,6,1,0,0,1,2
3066,0,5,26,0,5,0,1,1,0,2
3067,0,4,27,0,6,1,0,0,1,2
3068,0,4,30,0,7,1,0,1,1,2
3069,0,11,70,0,6,3,0,2,1,3
3070,0,17,116,0,6,6,0,3,1,3
3071,0,20,143,0,7,6,0,3,1,3
3072,0,4,26,1,6,0,1,3,0,3
3073,0,6,40,0,6,0,0,1,0,3
3074,0,2,21,0,10,0,0,0,0,2
3075,0,3,24,0,8,0,0,1,0,2
3076,0,5,23,0,4,0,8,1,0,2
3077,0,7,36,0,5,0,1,2,1,2
3078,0,3,24,0,8,0,0,1,0,2
3079,1,1,17,1,17,0,0,1,1,2
3080,0,11,75,0,6,2,0,2,1,3
3081,0,6,40,0,6,1,0,1,1,3
3082,0,21,139,0,6,6,2,4,1,3
3083,0,12,71,0,5,5,0,1,1,3
3084,0,12,69,0,5,5,0,1,1,3
3085,0,7,43,0,6,0,0,3,1,2
3086,0,3,24,0,8,0,0,1,0,2
3087,1,1,17,1,17,0,0,1,1,2
3088,0,14,90,1,6,5,0,4,1,3
3089,0,13,80,1,6,6,0,3,1,3
3090,0,6,35,0,5,0,1,1,1,2
3091,0,3,24,0,8,0,0,1,0,2
3092,1,1,17,1,17,0,0,1,1,2
3093,0,13,100,1,7,3,0,2,1,3
3094,0,16,117,1,7,3,0,4,1,3
3095,0,2,21,0,10,0,0,0,0,2
3096,0,4,38,0,9,0,0,1,0,2
3097,0,5,22,0,4,0,8,1,0,2
3098,1,1,17,1,17,0,0,1,1,2
3099,0,18,126,0,7,7,0,4,1,3
3100,0,24,161,0,6,5,20,8,1,3
3101,0,18,124,0,6,5,0,1,1,3
3102,1,1,9,0,9,0,0,0,1,2
3103,0,7,45,0,6,1,0,4,0,2
3104,0,12,92,0,7,3,0,3,1,2
3105,0,5,52,0,10,1,0,1,1,2
3106,0,3,11,0,3,0,8,1,0,3
3107,0,4,26,0,6,0,0,1,0,2
3108,0,4,28,0,7,0,0,1,0,2
3109,0,2,22,0,11,0,0,1,0,2
3110,0,1,9,0,9,0,8,1,0,3
3111,0,3,16,0,5,0,0,1,0,2
3112,0,5,34,0,6,0,0,1,0,2
3113,0,1,4,0,4,0,4,0,0,3
3114,1,1,7,0,7,0,0,0,0,2
3115,0,7,33,0,4,0,5,2,0,3
3116,0,6,38,0,6,0,4,2,0,3
3117,0,4,24,0,6,0,4,3,0,3
3118,1,1,1,0,1,0,0,0,0,0
3119,0,3,13,0,4,0,0,1,0,0
3120,0,2,30,0,15,0,2,4,0,2
3121,0,2,18,0,9,0,10,1,0,2
3122,1,1,9,0,9,0,0,0,1,2
3123,0,31,181,1,5,16,0,3,1,2
3124,1,1,9,0,9,0,0,0,1,2
3125,0,10,72,1,7,1,4,3,0,3
3126,0,1,4,0,4,0,4,0,0,3
3127,0,1,1,1,1,0,0,1,0,3
3128,0,8,40,1,5,1,2,3,0,2
3129,0,9,68,1,7,1,0,4,0,2
3130,0,1,4,0,4,0,4,0,0,3
3131,0,1,1,1,1,0,0,1,0,3
3132,0,3,24,1,8,0,2,2,0,2
3133,0,6,51,1,8,0,0,2,0,2
3134,0,1,4,0,4,0,4,0,0,3
3135,0,1,1,1,1,0,0,1,0,3
3136,0,3,13,1,4,0,2,5,0,0
3137,0,5,51,1,10,0,0,2,0,2
3138,1,2,16,0,8,0,0,0,1,2
3139,0,5,24,0,4,0,2,2,0,2
3140,1,1,12,0,12,0,0,0,1,2
3141,0,15,93,1,6,6,0,1,1,2
3142,1,2,15,0,7,0,0,0,1,2
3143,0,11,66,1,6,1,4,3,1,2
3144,0,3,35,1,11,0,0,2,1,2
3145,0,9,52,1,5,4,0,2,1,3
3146,0,9,56,1,6,3,0,2,1,3
3147,0,10,70,1,7,3,0,2,1,3
3148,0,9,51,1,5,3,0,2,1,3
3149,0,8,57,1,7,2,0,2,0,3
3150,1,2,20,0,10,0,0,0,1,2
3151,1,3,13,0,4,1,0,0,1,2
3152,0,1,1,1,1,0,0,1,0,3
3153,0,1,10,0,10,0,8,2,0,3
3154,1,1,11,0,11,0,0,0,1,2
3155,0,1,1,1,1,0,0,1,0,3
3156,0,1,6,0,6,0,0,0,0,2
3157,1,2,15,0,7,0,0,0,1,2
3158,0,1,1,1,1,0,0,1,0,3
3159,0,6,33,1,5,1,0,3,1,2
3160,1,2,19,0,9,0,0,0,1,2
3161,0,1,1,1,1,0,0,1,0,3
3162,0,8,66,0,8,0,11,6,0,2
3163,0,2,17,0,8,0,0,0,0,2
3164,0,6,47,1,7,1,0,3,0,2
3165,0,1,11,0,11,0,0,0,1,2
3166,0,27,156,1,5,17,0,2,1,2
3167,0,1,6,1,6,0,0,1,0,2
3168,0,1,7,0,7,0,0,0,0,2
3169,0,2,17,1,8,0,0,1,0,2
3170,0,1,5,1,5,0,0,1,1,2
3171,0,3,15,1,5,0,0,3,0,0
3172,0,2,10,0,5,0,0,0,0,0
3173,0,3,13,0,4,1,0,0,0,1
3174,0,5,69,0,13,0,15,9,0,3
3175,0,2,16,0,8,0,0,0,1,2
3176,0,53,377,1,7,15,5,8,1,2
3177,1,2,17,0,8,0,0,0,0,2
3178,0,2,11,0,5,0,0,1,0,3
3179,0,3,26,0,8,0,0,2,0,3
3180,0,10,58,1,5,2,0,5,1,3
3181,0,3,21,0,7,0,0,1,0,3
3182,1,2,23,0,11,0,0,0,1,2
3183,0,7,51,1,7,0,0,4,0,2
3184,0,12,77,0,6,0,4,3,0,2
3185,1,2,20,0,10,0,0,0,1,0
3186,0,12,79,0,6,4,0,3,1,3
3187,0,11,65,1,5,3,0,5,1,3
3188,0,9,55,0,6,3,0,2,0,3
3189,0,10,61,0,6,3,0,2,1,3
3190,0,10,65,0,6,4,0,1,1,3
3191,0,8,58,1,7,1,0,2,1,3
3192,0,16,130,1,8,5,0,4,1,3
3193,0,8,54,0,6,3,0,1,1,3
3194,0,13,74,0,5,5,0,1,1,3
3195,0,20,124,1,6,5,0,4,1,3
3196,0,22,148,1,6,8,0,3,1,3
3197,0,11,75,1,6,5,0,2,1,3
3198,1,1,9,0,9,0,0,0,1,2
3199,0,3,27,1,9,1,0,3,0,1
3200,0,5,44,0,8,1,0,1,0,2
3201,0,2,15,1,7,0,2,3,0,3
3202,1,2,19,1,9,0,0,1,1,2
3203,0,19,124,1,6,7,0,4,1,3
3204,0,9,59,0,6,3,0,1,1,3
3205,0,8,59,0,7,2,0,1,1,3
3206,1,2,17,0,8,0,0,0,1,2
3207,0,15,69,1,4,3,0,5,0,3
3208,1,3,17,0,5,1,0,0,1,2
3209,0,8,53,1,6,2,8,4,1,3
3210,0,12,65,1,5,5,0,2,1,3
3211,0,13,78,0,6,5,0,1,1,3
3212,1,2,20,0,10,1,0,0,1,2
3213,0,5,26,0,5,0,0,2,1,3
3214,0,6,41,0,6,0,0,4,1,3
3215,0,7,32,0,4,1,6,2,1,3
3216,0,4,24,0,6,0,0,2,1,3
3217,0,8,55,0,6,0,5,6,1,3
3218,0,2,31,0,15,0,6,2,0,2
3219,0,15,95,1,6,7,0,2,1,2
3220,0,4,32,0,8,0,0,1,0,2
3221,1,1,5,1,5,0,0,1,1,2
3222,0,3,15,1,5,0,0,2,0,3
3223,0,1,2,0,2,0,0,0,0,0
3224,0,2,11,0,5,0,0,0,0,0
3225,0,2,18,0,9,0,10,1,0,2
3226,0,6,33,0,5,0,3,1,0,3
3227,0,1,6,0,6,0,0,0,0,2
3228,0,2,31,0,15,0,6,5,0,2
3229,0,20,149,1,7,8,0,1,1,2
3230,1,2,20,0,10,0,0,0,1,0
3231,0,25,172,1,6,9,0,8,1,3
3232,1,4,22,0,5,0,0,1,1,0
3233,0,6,40,1,6,2,0,2,1,3
3234,0,4,33,1,8,0,0,2,1,3
3235,0,13,74,1,5,5,0,2,1,3
3236,0,6,54,1,9,0,0,2,1,3
3237,0,5,41,1,8,1,0,3,1,3
3238,0,4,34,1,8,0,0,3,1,3
3239,0,2,11,1,5,0,0,2,0,3
3240,1,2,16,0,8,0,0,0,1,0
3241,0,3,14,0,4,0,0,1,0,3
3242,0,3,11,0,3,0,0,1,0,3
3243,0,3,17,0,5,0,0,1,0,3
3244,0,11,73,0,6,0,4,5,0,3
3245,0,2,11,0,5,0,0,1,1,3
3246,0,6,23,0,3,0,0,6,0,3
3247,0,3,15,0,5,0,0,1,0,3
3248,0,9,49,0,5,1,4,6,1,3
3249,0,2,11,0,5,0,0,1,0,3
3250,0,2,11,0,5,0,0,2,0,3
3251,1,2,17,0,8,0,0,0,1,2
3252,0,5,24,0,4,0,8,1,0,2
3253,0,2,19,0,9,0,0,1,0,2
3254,0,3,24,0,8,0,0,0,0,2
3255,0,14,91,1,6,3,0,4,0,2
3256,0,7,46,0,6,2,0,1,0,2
3257,0,9,62,0,6,1,0,2,0,2
3258,0,12,79,0,6,3,0,1,1,2
3259,0,9,64,0,7,2,0,2,0,2
3260,0,12,74,0,6,3,0,1,0,2
3261,0,6,38,0,6,1,0,0,1,2
3262,0,5,30,0,6,0,8,1,0,2
3263,0,3,26,0,8,0,0,1,0,2
3264,0,2,18,0,9,0,0,0,0,2
3265,0,2,21,1,10,0,0,1,1,2
3266,0,12,86,1,7,3,1,4,1,3
3267,0,12,76,1,6,2,0,3,1,3
3268,0,14,84,1,6,3,0,4,0,3
3269,0,9,54,0,6,0,0,2,0,3
3270,0,7,36,1,5,2,0,2,0,3
3271,0,6,30,1,5,1,0,2,0,3
3272,0,5,26,1,5,1,0,2,0,3
3273,0,6,49,1,8,1,0,2,1,3
3274,0,6,43,1,7,1,0,2,1,3
3275,0,5,32,0,6,0,0,1,0,3
3276,0,6,45,0,7,0,0,2,0,3
3277,0,15,129,1,8,3,0,4,1,3
